ОКТМО,name

01000000000,Муниципальные образования Алтайского края
"01613420000,""Населенные пункты, входящие в состав сельского поселения Верх-Камышенский сельсовет Заринского муниципального района"""
"01613425000,""Населенные пункты, входящие в состав сельского поселения Воскресенский сельсовет Заринского муниципального района"""
"01613428000,""Населенные пункты, входящие в состав сельского поселения Голухинский сельсовет Заринского муниципального района"""
"01613430000,""Населенные пункты, входящие в состав сельского поселения Гоношихинский сельсовет Заринского муниципального района"""
"01613434000,""Населенные пункты, входящие в состав сельского поселения Гришинский сельсовет Заринского муниципального района"""
"01613436000,""Населенные пункты, входящие в состав сельского поселения Жуланихинский сельсовет Заринского муниципального района"""
"01613438000,""Населенные пункты, входящие в состав сельского поселения Зыряновский сельсовет Заринского муниципального района"""
"01613450000,""Населенные пункты, входящие в состав сельского поселения Комарский сельсовет Заринского муниципального района"""
"01613460000,""Населенные пункты, входящие в состав сельского поселения Новодраченинский сельсовет Заринского муниципального района"""
"01613461000,""Населенные пункты, входящие в состав сельского поселения Новозыряновский сельсовет Заринского муниципального района"""
"01613464000,""Населенные пункты, входящие в состав сельского поселения Новокопыловский сельсовет Заринского муниципального района"""
"01613468000,""Населенные пункты, входящие в состав сельского поселения Новомоношкинский сельсовет Заринского муниципального района"""
"01613474000,""Населенные пункты, входящие в состав сельского поселения Смазневский сельсовет Заринского муниципального района"""
"01613478000,""Населенные пункты, входящие в состав сельского поселения Сосновский сельсовет Заринского муниципального района"""
"01613487000,""Населенные пункты, входящие в состав сельского поселения Стародраченинский сельсовет Заринского муниципального района"""
"01613488000,""Населенные пункты, входящие в состав сельского поселения Тягунский сельсовет Заринского муниципального района"""
"01613492000,""Населенные пункты, входящие в состав сельского поселения Хмелевский сельсовет Заринского муниципального района"""
"01613494000,""Населенные пункты, входящие в состав сельского поселения Шпагинский сельсовет Заринского муниципального района"""
"01613496000,""Населенные пункты, входящие в состав сельского поселения Яновский сельсовет Заринского муниципального района"""
01615000000,Калманский муниципальный район
01615400000,Сельские поселения Калманского муниципального района/
"01615409000,""Населенные пункты, входящие в состав сельского поселения Бурановский сельсовет Калманского муниципального района"""
"01615414000,""Населенные пункты, входящие в состав сельского поселения Зимарёвский сельсовет Калманского муниципального района"""
"01615425000,""Населенные пункты, входящие в состав сельского поселения Калистратихинский сельсовет Калманского муниципального района"""
"01615427000,""Населенные пункты, входящие в состав сельского поселения Калманский сельсовет Калманского муниципального района"""
"01615435000,""Населенные пункты, входящие в состав сельского поселения Кубанский сельсовет Калманского муниципального района"""
"01615450000,""Населенные пункты, входящие в состав сельского поселения Шиловский сельсовет Калманского муниципального района"""
"01615457000,""Населенные пункты, входящие в состав сельского поселения Новоромановский сельсовет Калманского муниципального района"""
"01615468000,""Населенные пункты, входящие в состав сельского поселения Обской сельсовет Калманского муниципального района"""
"01615480000,""Населенные пункты, входящие в состав сельского поселения Усть-Алейский сельсовет Калманского муниципального района"""
"01615485000,""Населенные пункты, входящие в состав сельского поселения Шадринский сельсовет Калманского муниципального района"""
01616000000,Каменский муниципальный район
01616100000,Городские поселения Каменского муниципального района/
"01616101000,""Населенные пункты, входящие в состав городского поселения город Камень-на-Оби Каменского муниципального района"""
01616400000,Сельские поселения Каменского муниципального района/
"01616404000,""Населенные пункты, входящие в состав сельского поселения Аллакский сельсовет Каменского муниципального района"""
"01616413000,""Населенные пункты, входящие в состав сельского поселения Верх-Аллакский сельсовет Каменского муниципального района"""
"01616417000,""Населенные пункты, входящие в состав сельского поселения Гоноховский сельсовет Каменского муниципального района"""
"01616437000,""Населенные пункты, входящие в состав сельского поселения Корниловский сельсовет Каменского муниципального района"""
"01616461000,""Населенные пункты, входящие в состав сельского поселения Новоярковский сельсовет Каменского муниципального района"""
"01616468000,""Населенные пункты, входящие в состав сельского поселения Плотниковский сельсовет Каменского муниципального района"""
"01616473000,""Населенные пункты, входящие в состав сельского поселения Попереченский сельсовет Каменского муниципального района"""
"01616475000,""Населенные пункты, входящие в состав сельского поселения Пригородный сельсовет Каменского муниципального района"""
"01616482000,""Населенные пункты, входящие в состав сельского поселения Рыбинский сельсовет Каменского муниципального района"""
"01616486000,""Населенные пункты, входящие в состав сельского поселения Столбовский сельсовет Каменского муниципального района"""
"01616490000,""Населенные пункты, входящие в состав сельского поселения Телеутский сельсовет Каменского муниципального района"""
"01616494000,""Населенные пункты, входящие в состав сельского поселения Толстовский сельсовет Каменского муниципального района"""
"01616497000,""Населенные пункты, входящие в состав сельского поселения Филипповский сельсовет Каменского муниципального района"""
01617000000,Ключевский муниципальный район
01617400000,Сельские поселения Ключевского муниципального района/
"01617406000,""Населенные пункты, входящие в состав сельского поселения Васильчуковский сельсовет Ключевского муниципального района"""
"01617412000,""Населенные пункты, входящие в состав сельского поселения Зелёнополянский сельсовет Ключевского муниципального района"""
"01617415000,""Населенные пункты, входящие в состав сельского поселения Истимисский сельсовет Ключевского муниципального района"""
"01617420000,""Населенные пункты, входящие в состав сельского поселения Каипский сельсовет Ключевского муниципального района"""
"01617424000,""Населенные пункты, входящие в состав сельского поселения Ключевский сельсовет Ключевского муниципального района"""
"01617435000,""Населенные пункты, входящие в состав сельского поселения Новополтавский сельсовет Ключевского муниципального района"""
"01617437000,""Населенные пункты, входящие в состав сельского поселения Новоцелинный сельсовет Ключевского муниципального района"""
"01617446000,""Населенные пункты, входящие в состав сельского поселения Петуховский сельсовет Ключевского муниципального района"""
"01617468000,""Населенные пункты, входящие в состав сельского поселения Покровский сельсовет Ключевского муниципального района"""
"01617479000,""Населенные пункты, входящие в состав сельского поселения Северский сельсовет Ключевского муниципального района"""
01618000000,Косихинский муниципальный район
01618400000,Сельские поселения Косихинского муниципального района/
"01618406000,""Населенные пункты, входящие в состав сельского поселения Баюновский сельсовет Косихинского муниципального района"""
